Engine rpm;Lub oil pressure;Fuel pressure;Coolant pressure;lub oil temp;Coolant temp;Engine Condition
1093;256.187.634;4.608.761.134;1.751.273.245;8.573.371.847;9.220.352.461;1
1427;4.813.734.873;1.176.327.806;287.895.228;7.797.465.792;8.023.828.114;1
804;2.447.769.837;8.628.294.683;1.510.926.695;7.527.025.256;713.465.074;1
678;2.268.526.139;4.388.601.761;1.614.912.529;7.766.200.213;8.925.202.096;1
1067;4.034.484.112;5.938.320.812;346.344.774;7.627.048.836;919.583.098;1
702;4.169.175.633;0.673270741;2.902.641.582;7.489.389.719;740.814.541;0
617;3.461.928.464;6.336.159.318;1.495.317.234;7.398.272.395;6.766.260.243;1
569;2.185.815.139;6.418.845.759;1.467.961.186;7.472.440.663;7.363.034.648;1
919;356.371.373;6.846.393.346;2.176.897.804;8.397.278.875;7.839.112.031;0
548;4.840.758.756;6.119.180.813;3.180.815.928;7.649.300.948;6.614.328.055;1
781;4.584.106.817;6.711.678.597;1.630.192.209;7.714.319.597;798.450.681;1
603;3.091.647.095;5.632.162.809;2.651.566.736;7.619.866.393;7.504.417.796;1
462;2.502.990.028;4.614.554.266;285.213.181;77.418.983;7.720.238.268;1
891;4.676.606.169;5.878.548.716;0.899825225;7.819.031.747;782.496.666;1
948;4.939.121.417;8.385.726.694;1.451.014.277;7.822.254.967;6.635.144.073;1
745;3.731.986.565;6.296.358.598;1.775.715.156;7.573.280.921;7.756.750.562;1
799;2.299.056.533;77.076.137;2.338.811.588;7.806.929.962;8.254.390.862;0
469;4.537.585.322;1.076.572.352;4.939.155.745;7.378.269.465;7.234.549.952;1
687;3.585.164.289;7.440.734.625;193.518.746;7.665.908.309;7.661.206.812;1
907;492.979.658;4.814.561.283;1.532.188.812;7.764.681.642;7.710.092.963;1
1027;4.199.127.675;585.757.179;2.573.508.818;758.982.568;787.373.111;1
411;2.623.177.454;7.659.587.529;1.582.100.906;7.703.222.951;7.644.918.989;1
444;2.164.654.857;6.732.700.392;2.412.667.043;7.732.476.637;8.529.880.838;1
590;2.309.254.947;6.166.792.222;205.746.229;7.715.201.507;725.793.174;1
722;3.393.938.127;6.290.179.538;1.959.339.825;7.565.009.828;8.315.811.722;1
625;3.644.726.315;5.289.848.722;3.075.246.974;8.564.313.983;8.228.298.823;0
723;4.311.342.212;4.364.000.774;1.691.829.311;7.576.434.694;7.489.027.527;1
799;5.872.675.562;7.152.627.334;3.433.332.797;7.806.122.836;7.463.731.315;1
1162;2.704.082.405;5.359.652.927;1.782.950.057;7.438.137.972;6.815.295.351;1
1436;3.700.468.064;4.247.554.422;1.633.407.807;7.807.244.107;7.665.804.218;0
676;458.782.383;6.114.129.846;1.851.114.297;7.753.237.413;7.390.304.143;1
503;2.079.224.706;4.587.899.558;2.177.820.494;7.639.490.727;8.041.947.214;1
897;2.318.026.565;7.473.438.052;173.874.632;7.805.224.114;8.301.433.862;1
1034;4.932.928.284;646.099.674;3.101.433.789;7.782.321.132;8.066.851.074;1
961;2.767.816.258;4.414.344.248;2.285.443.105;7.644.598.309;7.715.263.414;0
710;3.136.404.788;4.381.414.354;4.571.009.686;766.435.876;8.572.940.296;0
990;307.085.582;1.000.811.444;3.430.589.772;7.790.244.713;7.640.444.883;1
871;2.225.769.463;4.228.676.523;1.498.271.673;7.660.148.633;8.372.624.094;0
542;3.923.501.961;7.330.454.889;11.274.382;7.593.294.256;8.276.800.555;1
604;3.616.477.361;6.716.742.502;1.313.727.824;7.626.144.541;740.474.664;1
819;3.044.475.755;1.764.056.057;3.171.453.967;7.752.762.871;8.343.750.854;0
842;3.582.724.848;7.556.463.052;3.192.971.193;7.306.119.972;7.519.383.795;1
981;2.816.307.107;8.136.521.314;2.746.711.051;8.191.554.469;6.850.007.193;0
1160;2.497.388.261;4.635.109.754;1.861.152.806;7.402.667.526;6.869.180.777;1
746;5.135.425.134;623.788.377;1.591.487.165;763.396.209;8.070.136.853;1
557;3.912.950.354;6.806.831.196;1.622.156.701;8.372.188.181;7.431.001.789;1
637;3.804.920.828;6.496.941.488;3.274.030.569;7.618.246.698;7.810.322.407;1
1177;3.281.356.375;8.788.773.491;1.554.133.367;7.335.331.961;7.499.257.866;0
624;3.442.699.071;7.718.621.533;155.194.637;8.520.370.269;7.626.506.584;1
467;2.503.885.294;4.693.086.251;3.172.898.038;7.573.271.663;7.453.712.004;0
996;3.186.547.178;5.181.844.748;632.708.178;7.667.098.977;9.289.754.375;0
942;3.181.291.272;6.278.585.689;2.618.690.545;7.498.127.091;8.662.422.129;0
800;2.990.194.287;4.588.856.494;2.308.768.125;7.516.233.334;7.499.357.993;0
826;4.879.704.882;6.580.275.309;5.842.096.356;7.560.261.925;8.646.493.519;1
472;4.219.101.267;594.776.908;2.283.976.823;7.848.345.957;7.661.160.269;1
697;1.901.855.721;5.619.076.845;0.718926178;7.577.368.402;6.815.735.024;0
778;2.311.826.357;6.595.879.274;1.300.002.471;7.721.089.846;6.962.358.816;1
801;213.668.783;844.287.212;2.160.206.589;7.764.720.084;7.536.186.169;1
546;4.453.795.612;1.246.760.765;2.626.423.122;7.674.931.267;8.457.940.984;1
1034;3.035.609.195;7.485.034.865;1.985.491.839;7.666.482.676;8.938.842.959;0
900;45.559.628;4.965.613.199;1.738.731.638;7.529.002.239;7.357.704.145;1
610;4.852.374.966;9.198.146.903;2.861.155.412;7.722.025.309;8.479.658.287;0
1366;4.612.282.923;5.462.513.693;2.131.625.777;7.649.376.452;6.935.965.862;1
879;3.268.326.923;6.949.301.604;3.367.868.949;741.780.475;8.732.368.641;1
735;23.586.764;5.395.868.627;3.686.157.259;7.730.849.821;8.893.814.286;1
763;3.544.261.271;4.713.249.743;1.322.180.167;7.721.376.154;9.019.770.637;0
812;4.576.275.395;106.251.349;5.935.178.951;7.694.146.845;8.497.356.476;1
462;4.730.005.461;511.759.615;1.473.089.743;7.998.309.468;7.119.019.228;1
842;3.024.014.167;8.073.837.657;2.504.470.275;7.752.614.224;751.537.997;1
1065;4.023.600.643;3.405.958.542;1.854.670.779;7.675.904.887;8.298.947.459;1
774;2.776.387.966;4.507.465.518;2.115.910.459;7.607.934.782;821.714.296;1
398;2.465.809.704;4.532.660.807;15.796.847;7.655.275.372;9.377.942.158;1
870;2.474.723.291;7.622.655.477;2.563.322.847;7.418.649.385;7.499.886.599;0
1458;3.085.635.353;6.663.780.979;2.068.267.227;759.126.649;8.231.734.344;1
649;2.540.839.262;4.064.971.786;1.838.950.492;7.488.485.067;7.580.830.942;0
699;3.723.836.819;1.154.944.836;1.672.746.348;7.945.303.007;6.848.303.824;0
1224;2.394.939.445;8.134.699.191;5.384.597.478;7.648.634.304;7.517.004.757;0
798;5.789.154.068;6.727.879.187;1.819.378.007;776.019.679;7.990.657.695;1
469;416.747.493;7.818.119.728;1.976.116.917;7.823.712.555;7.730.982.274;1
887;384.084.007;6.051.232.379;2.455.383.875;7.461.783.471;839.662.892;1
777;331.469.359;7.433.920.145;1.772.863.316;8.356.756.195;7.578.565.049;0
951;2.375.771.822;3.593.408.615;2.017.429.156;7.551.689.399;7.483.651.463;0
907;5.651.967.798;8.047.248.945;4.843.964.214;7.660.707.795;8.499.995.524;1
665;2.531.667.617;6.426.000.849;2.810.103.547;7.663.501.255;7.955.927.165;0
463;2.574.044.268;6.249.724.803;30.759.934;7.440.872.671;6.876.925.667;1
129;3.206.530.563;7.384.345.243;1.017.543.682;85.672.254;8.525.498.078;1
564;4.924.600.947;4.300.537.934;3.744.160.631;7.604.932.907;707.919.094;1
766;4.851.858.595;6.406.358.578;3.055.319.834;7.516.593.223;8.144.153.946;1
453;1.854.408.524;1.458.835.406;2.341.105.546;7.572.596.559;7.512.922.687;1
508;2.109.659.011;7.528.297.277;1.631.074.497;809.328.362;8.934.287.776;0
876;5.432.094.862;3.149.548.212;1.942.680.389;7.610.457.593;8.415.331.523;1
401;1.887.355.884;1.154.410.979;3.452.028.266;8.841.598.077;9.377.036.777;1
787;3.997.357.642;1.211.170.795;239.387.423;7.662.387.818;7.852.601.952;0
508;2.001.759.521;1.611.218.531;2.913.602.076;7.482.302.627;8.229.960.194;1
695;3.464.097.114;9.840.355.818;162.183.235;7.456.221.986;6.943.812.197;1
629;553.765.541;5.019.001.676;0.250004723;7.709.926.396;7.446.361.227;1
355;1.886.040.538;5.969.209.876;1.412.205.881;8.374.411.385;7.974.952.568;0
511;2.068.325.007;7.398.872.502;0.218969298;7.781.672.036;7.263.583.918;0
854;3.128.561.286;4.838.867.959;2.933.394.538;7.604.395.213;7.948.810.094;0
1029;4.514.097.787;5.956.347.195;4.347.624.186;736.681.052;8.040.063.728;1
944;3.336.739.885;6.430.121.819;4.798.936.206;7.889.095.655;8.897.491.246;1
423;2.576.619.544;7.185.489.302;1.360.353.852;8.404.643.936;8.259.251.505;1
592;485.759.591;5.610.891.865;0.920847789;7.562.335.623;7.536.680.212;1
796;4.025.948.356;3.117.686.848;5.607.101.679;7.763.236.947;792.337.502;1
546;3.818.995.585;6.732.235.608;4.742.809.975;7.797.930.348;7.741.683.623;0
506;4.027.753.991;768.086.847;5.187.346.563;7.946.541.571;6.809.248.443;1
872;3.575.352.267;1.097.368.778;2.581.692.985;8.714.009.901;8.936.155.769;1
530;2.827.063.162;5.625.013.847;2.953.827.207;7.509.613.928;7.422.828.561;0
487;4.229.861.295;663.387.838;1.853.506.328;7.659.281.214;7.092.247.256;1
1015;2.180.710.674;5.767.776.565;4.073.530.415;7.827.698.103;7.349.025.203;1
783;1.759.670.018;4.300.860.496;3.715.453.685;7.986.349.328;9.157.949.182;1
592;257.192.026;1.376.908.294;1.415.773.921;7.723.135.327;6.603.330.505;1
667;3.370.593.343;6.898.713.594;1.441.468.738;7.679.422.351;8.356.504.852;1
627;2.188.227.259;1.407.238.966;4.368.836.057;7.624.935.282;8.275.443.578;0
1306;2.826.025.825;7.786.784.613;1.088.878.999;7.719.207.384;7.942.316.298;0
746;2.752.856.752;7.234.147.085;18.480.256;7.728.184.297;8.258.962.991;0
450;2.102.848.246;4.244.557.694;2.382.269.709;7.807.495.952;8.180.449.391;0
748;3.796.844.566;6.261.971.924;2.611.856.621;7.632.795.052;6.819.301.448;0
726;3.133.553.199;5.998.991.542;1.990.092.863;7.743.826.653;7.773.891.037;0
1013;4.453.115.171;6.948.534.645;107.034.717;755.452.642;8.013.429.567;1
529;2.500.239.844;5.339.593.831;6.009.597.863;7.710.364.831;8.422.327.352;0
816;1.906.832.549;9.222.588.639;2.168.181.309;772.840.361;7.991.789.625;1
499;3.840.890.143;8.256.118.489;2.940.317.629;7.548.135.127;6.864.547.938;1
515;4.476.242.046;1.031.081.102;2.411.985.381;7.772.116.514;7.112.334.974;1
461;475.692.088;7.635.279.569;3.213.110.679;8.412.003.502;6.798.228.673;1
700;3.375.577.221;3.992.988.587;1.385.710.162;8.157.742.304;7.953.474.545;0
605;42.674.707;6.836.466.272;1.646.322.344;7.830.771.174;8.001.769.982;1
660;2.924.774.367;7.999.973.474;2.782.399.355;7.465.880.975;6.849.531.722;1
539;3.333.235.308;8.204.547.047;223.195.396;7.746.049.895;8.644.171.825;1
686;2.845.882.179;7.772.938.487;3.969.274.442;7.738.460.928;6.875.067.324;0
702;0.491967163;4.645.789.115;2.399.707.238;8.614.660.555;8.237.991.185;1
1294;2.164.301.431;4.175.035.716;1.354.664.477;8.016.644.314;8.517.124.932;0
959;30.516.908;3.862.391.535;3.108.549.542;7.679.025.422;7.320.050.769;0
500;3.549.649.953;6.311.287.153;180.553.201;7.394.011.503;9.062.787.677;0
1053;3.571.034.891;5.971.233.182;193.247.734;7.786.045.563;6.949.399.794;0
825;5.076.494.544;4.545.233.898;448.812.313;755.759.409;8.017.492.264;1
901;346.096.773;5.032.018.739;3.130.519.155;7.646.677.591;7.781.565.579;0
977;2.299.655.748;6.072.880.568;1.974.169.142;7.879.525.731;8.187.079.051;0
701;3.150.529.058;583.531.644;2.907.197.967;7.625.129.791;8.235.099.055;1
576;5.372.600.046;6.010.187.046;0.949439311;7.647.636.042;7.117.042.832;1
858;2.865.380.881;9.483.497.741;2.617.907.793;7.610.586.638;795.629.924;0
476;3.206.906.935;7.120.353.766;201.182.009;7.770.304.503;8.830.076.726;1
555;4.919.948.367;6.851.099.708;2.284.690.927;7.629.465.328;7.458.802.892;1
783;3.028.403.249;4.339.128.971;1.037.449.393;7.663.871.956;7.753.610.386;1
539;4.763.426.256;561.902.153;2.712.268.702;8.187.364.626;8.578.634.164;1
944;261.240.333;538.643.753;1.314.306.225;7.532.959.054;8.392.176.978;1
756;1.906.751.306;3.632.707.569;1.216.353.511;7.702.228.322;737.944.075;0
751;487.726.497;7.829.674.518;1.584.482.801;7.708.614.881;789.717.246;1
664;3.545.736.548;5.938.258.564;1.932.630.728;7.713.339.622;7.728.612.635;1
709;4.959.869.983;4.832.435.316;1.400.753.308;7.568.221.675;7.244.731.728;1
821;2.337.067.118;9.427.574.485;3.825.078.941;7.740.299.668;7.521.025.274;0
885;2.886.211.477;768.005.162;1.622.963.643;766.547.551;8.328.931.441;1
1367;5.398.825.711;8.112.875.397;2.228.008.508;7.611.716.324;734.325.065;0
793;4.267.243.539;3.910.908.609;2.629.397.407;766.395.542;8.588.002.803;0
1105;4.549.130.206;5.598.529.515;1.451.412.931;7.639.655.211;6.778.135.232;0
1399;4.381.381.886;897.080.939;146.634.242;7.626.266.191;6.649.967.161;1
827;421.828.293;3.044.068.917;334.337.038;76.252.321;7.447.896.267;0
1091;2.992.162.434;7.050.279.525;1.612.976.455;7.513.709.849;8.989.202.809;0
564;4.468.910.498;5.764.710.081;1.304.604.771;7.477.637.072;7.213.409.061;1
647;3.051.795.601;6.820.863.212;141.415.472;7.687.930.311;7.511.445.917;1
398;2.635.967.949;1.226.447.754;2.078.711.685;7.666.661.973;7.126.701.107;1
914;2.981.207.242;1.851.834.456;266.613.553;8.548.418.284;8.244.903.468;0
703;3.780.070.196;5.367.267.715;2.406.258.506;7.378.286.792;7.632.953.355;1
1004;2.401.211.566;7.637.060.135;1.062.531.866;81.311.272;7.629.043.878;1
1118;230.211.117;9.866.151.477;1.364.154.766;7.563.620.765;8.944.191.979;0
512;2.557.408.876;5.553.207.925;4.383.402.579;7.789.016.462;8.119.834.528;0
794;2.820.704.437;6.143.274.356;2.094.809.422;7.586.764.976;6.826.823.022;1
583;2.754.460.571;6.810.988.197;3.435.221.017;7.697.847.466;844.940.456;1
1140;3.665.037.693;6.900.091.111;1.401.764.395;7.426.274.732;8.054.941.269;1
832;2.090.486.903;5.755.986.178;1.143.638.664;756.840.724;8.480.511.206;1
1209;3.385.390.519;4.863.631.747;1.417.065.837;8.001.285.227;7.973.859.526;0
1671;4.928.290.096;2.784.336.444;2.738.144.951;7.509.511.535;8.339.282.106;0
588;2.012.411.883;5.725.321.745;16.983.881;7.656.767.316;8.339.370.254;1
606;2.464.929.233;4.185.803.743;304.086.283;8.513.621.887;8.094.802.536;1
740;319.319.406;5.412.780.221;2.383.443.258;7.785.897.822;8.351.305.336;0
724;3.974.247.806;138.795.513;2.094.191.161;7.713.289.254;8.563.434.302;1
1167;2.859.888.761;2.234.503.332;2.410.453.614;7.631.468.201;8.612.892.867;0
528;4.109.280.197;7.063.354.938;2.308.604.771;7.524.387.921;736.391.551;1
1192;266.346.948;3.207.580.083;1.053.186.576;7.734.445.255;7.905.205.476;1
431;4.240.749.731;7.922.981.527;1.143.718.967;7.858.467.422;8.550.745.222;1
822;3.042.920.509;5.451.991.819;1.389.355.303;8.222.241.107;7.751.133.915;1
1271;0.881713869;5.471.959.491;3.108.501.953;7.805.349.895;8.187.471.704;0
639;4.414.284.421;7.108.528.758;194.620.723;8.020.928.992;7.165.146.187;0
627;2.401.572.724;6.791.072.415;2.149.455.603;8.318.199.726;7.599.220.061;0
797;449.589.946;4.189.012.771;1.221.534.889;7.794.913.547;6.737.578.813;0
1022;5.087.561.734;5.830.645.251;3.680.726.306;7.790.891.344;7.061.726.167;0
1500;2.902.711.859;3.920.545.492;205.538.781;7.793.691.907;7.406.393.451;0
610;2.637.153.698;9.658.472.625;1.556.941.626;7.427.894.457;7.722.665.728;1
859;2.500.034.933;7.289.598.218;1.399.779.439;7.764.764.104;6.701.003.802;1
677;3.617.240.162;40.898.598;199.805.385;7.569.518.474;8.643.218.807;0
868;3.707.688.702;8.273.506.736;1.715.473.809;7.596.249.067;8.450.935.728;1
631;3.003.064.942;496.120.098;2.770.813.324;7.627.427.176;7.891.078.004;1
1424;425.110.685;7.010.644.947;0.166623;7.711.326.439;7.976.864.716;1
802;4.008.334.002;8.405.401.276;1.338.214.302;7.608.814.625;7.497.048.896;0
454;1.966.370.451;6.510.078.309;1.811.458.845;7.333.395.923;8.301.844.948;1
862;3.636.286.828;5.921.524.022;2.501.388.619;7.485.997.844;6.852.687.762;0
1021;2.692.710.252;127.151.717;1.860.795.203;7.712.573.223;8.102.396.772;0
710;230.070.819;0.666496219;105.373.995;7.671.712.933;8.079.976.895;1
1024;2.381.457.564;5.591.321.728;2.198.960.535;7.708.455.139;7.840.715.384;1
1087;4.653.519.406;6.749.792.344;1.071.706.709;771.118.114;8.144.314.012;0
753;2.461.845.934;5.237.617.613;2.102.538.576;7.656.658.315;7.523.168.456;1
407;3.506.885.534;4.726.654.878;2.228.122.853;7.734.092.954;708.472.153;1
780;2.805.286.636;1.477.146.288;1.934.241.854;7.468.424.074;790.488.112;1
1338;4.682.139.354;7.104.953.483;2.460.005.433;7.714.783.879;889.977.602;0
849;306.708.201;5.087.229.651;4.737.655.219;7.686.781.136;781.314.144;1
992;3.654.665.437;7.061.033.075;2.707.279.673;7.732.980.351;7.274.997.351;0
667;4.770.098.699;1.015.855.026;4.819.688.105;856.609.286;828.399.605;1
967;3.767.958.612;1.015.562.084;3.454.069.859;7.793.056.777;7.442.633.712;0
792;378.852.465;7.070.607.933;278.321.778;8.468.792.182;8.714.655.191;0
495;18.203.248;6.070.955.484;1.221.021.191;7.824.948.853;8.044.373.811;0
793;491.424.766;7.473.940.457;2.270.569.825;8.208.998.451;7.490.520.766;1
564;4.035.066.594;4.595.050.441;2.836.835.452;7.618.934.517;8.564.623.147;1
933;2.208.059.824;5.661.434.804;3.081.490.679;7.979.407.511;6.806.043.251;1
937;4.299.598.432;694.085.828;1.450.284.118;7.666.744.614;7.143.331.871;1
616;3.310.048.427;3.787.692.765;6.001.030.888;7.588.980.991;7.222.000.922;0
774;3.425.833.381;734.114.686;1.850.920.081;7.608.379.264;8.352.142.488;1
774;2.431.402.504;4.415.032.979;2.772.102.496;8.380.872.469;8.532.762.166;0
895;2.280.086.913;6.078.864.284;0.914258936;7.776.806.593;7.654.054.634;1
742;3.392.487.412;7.495.271.728;1.358.570.224;7.743.314.621;726.605.722;0
778;4.173.778.168;2.329.088.488;153.222.775;7.827.442.993;9.001.338.482;1
696;3.314.726.331;8.795.604.749;1.421.971.848;7.503.456.519;672.470.777;1
775;3.910.337.369;6.541.415.887;1.599.203.088;7.466.848.201;829.715.224;1
468;5.429.447.265;39.689.662;251.801.489;7.638.114.106;7.575.726.195;1
864;3.990.567.942;4.044.797.828;1.383.226.741;769.516.974;9.035.812.645;1
1125;5.070.414.208;6.529.312.603;2.815.227.478;7.691.980.041;8.180.374.737;1
1447;1.836.808.171;5.187.070.787;1.060.490.973;7.666.964.511;9.045.221.627;0
531;2.052.454.151;5.596.793.127;1.547.411.315;7.532.483.265;7.850.105.338;1
871;4.528.298.265;4.772.297.837;241.906.592;7.750.811.269;7.604.657.088;1
994;2.740.775.376;954.807.992;0.910408713;7.628.882.458;7.664.298.326;1
710;433.856.693;5.455.502.338;1.665.819.741;7.718.979.778;8.397.855.471;1
416;2.380.873.349;6.680.983.624;1.468.115.988;7.672.167.992;7.352.196.224;1
995;4.378.302.102;5.114.388.685;1.454.776.016;8.366.042.451;7.481.898.802;0
1131;2.388.407.152;3.280.763.952;0.948458145;7.421.629.674;839.699.307;1
811;2.553.736.414;5.195.216.588;1.983.698.546;7.618.741.534;6.856.697.114;0
728;2.559.098.783;4.509.129.273;242.747.351;748.806.885;7.474.344.741;0
412;4.730.226.649;6.713.341.851;1.486.604.454;7.717.364.879;8.430.883.022;1
1112;4.698.064.877;7.670.734.559;1.429.124.538;7.560.931.811;6.839.091.562;0
703;5.268.055.439;7.272.420.014;1.209.639.496;7.557.457.281;8.685.251.745;1
712;3.278.534.578;5.681.458.601;1.960.477.764;7.594.557.262;763.278.845;1
628;4.047.114.333;6.471.460.462;2.945.131.053;7.518.582.473;8.414.928.714;1
586;2.053.909.506;3.762.109.328;1.635.890.007;7.243.029.725;7.855.635.436;1
486;3.084.427.037;6.639.648.628;1.992.475.877;7.417.441.092;784.604.614;1
600;3.175.911.015;5.989.572.052;2.469.351.996;7.708.503.485;7.121.549.144;1
997;0.612139771;4.683.000.051;1.485.607.878;8.238.286.599;7.812.594.093;0
608;4.173.316.146;5.428.638.005;354.419.576;789.645.156;7.830.326.452;1
675;2.995.069.562;2.253.490.526;1.538.999.408;7.442.904.913;9.116.851.195;1
850;2.462.434.169;1.786.279.385;1.664.857.267;7.839.269.839;7.852.205.841;1
1027;2.235.030.907;1.461.635.051;24.183.949;7.701.883.421;7.706.322.455;1
586;3.558.887.943;5.218.662.379;3.271.067.976;7.698.348.201;719.368.813;1
512;2.725.427.236;9.030.518.944;4.967.177.748;7.611.300.036;749.796.951;0
524;2.478.502.255;7.304.576.875;3.008.048.715;7.492.623.015;7.661.752.588;1
799;4.443.414.103;1.533.933.653;1.273.780.735;7.519.354.431;7.777.411.634;0
516;4.663.446.121;3.288.996.245;1.737.140.374;7.730.590.231;754.415.673;1
732;4.304.621.411;8.516.174.462;1.776.624.255;7.588.799.088;8.087.955.452;1
633;396.771.059;828.265.852;1.184.484.783;7.635.458.878;7.519.207.695;1
680;3.841.710.168;3.994.543.771;2.480.004.777;7.550.597.663;7.860.060.944;0
596;2.377.026.133;4.259.547.464;1.145.969.071;7.668.650.945;7.717.053.556;1
1041;1.632.281.703;7.929.632.983;4.699.828.574;7.636.085.809;7.207.026.788;0
866;2.451.496.478;5.401.849.637;1.272.444.362;7.725.620.362;7.516.828.826;1
431;4.286.093.345;4.971.444.575;272.137.103;7.752.064.035;8.052.661.672;1
696;1.816.926.222;1.095.905.755;2.302.951.264;7.614.677.593;8.079.007.199;1
923;3.302.557.668;547.721.951;0.149272632;7.737.161.949;850.135.713;1
1522;3.193.802.757;3.343.933.945;323.962.455;7.659.709.841;7.944.971.933;0
608;0.793987196;5.950.963.506;3.306.766.573;7.745.838.602;7.722.506.938;1
1172;4.464.110.557;583.133.014;1.358.946.024;7.634.261.762;7.317.979.716;1
777;2.196.535.135;3.830.447.064;2.492.166.569;7.783.739.348;7.389.600.924;0
682;4.213.030.207;3.878.721.452;2.660.551.999;7.765.073.101;8.818.519.429;1
795;2.473.084.727;7.742.195.129;5.650.745.657;8.420.116.946;838.563.945;1
1168;4.383.913.922;4.402.109.565;2.259.759.393;8.553.611.983;7.604.116.698;0
888;2.678.256.656;6.814.992.466;3.151.094.451;7.763.210.659;8.091.215.828;1
929;3.040.095.617;7.295.838.857;3.883.817.908;7.521.276.081;6.341.895.256;1
1012;4.213.598.482;1.366.661.741;2.004.123.705;7.687.703.205;7.982.612.441;0
392;4.047.989.298;5.521.011.136;306.641.179;7.877.582.781;7.716.657.185;1
618;2.061.649.818;1.827.158.042;4.122.077.701;7.470.006.601;6.621.674.232;1
476;3.772.830.846;7.755.828.572;2.182.554.349;7.583.305.945;8.667.289.169;1
1279;0.822259322;5.142.345.021;2.368.251.411;7.629.109.475;8.740.809.736;1
936;4.191.253.334;4.704.809.986;2.597.287.722;7.701.409.069;8.321.257.362;1
1090;3.041.617.935;5.580.247.809;1.109.142.659;7.700.148.796;8.238.670.585;0
971;295.826.715;7.171.856.136;1.065.721.004;8.090.245.515;7.826.728.579;0
865;3.390.310.681;5.485.094.418;3.177.904.895;7.613.338.087;7.509.006.926;0
684;3.786.217.108;6.112.776.736;1.470.425.535;7.476.493.104;7.476.418.628;1
1126;2.464.685.351;4.978.878.361;2.930.480.453;7.937.497.089;7.171.595.511;1
558;2.047.613.105;2.190.560.109;3.495.529.904;8.712.453.614;8.107.680.157;1
881;2.885.586.435;164.417.969;3.070.603.983;780.320.789;8.472.532.733;1
625;2.788.693.068;80.205.031;4.830.511.035;7.445.254.754;8.036.309.737;1
486;471.643.088;778.436.284;1.709.439.997;8.071.844.228;8.040.264.683;1
768;3.375.701.237;4.760.199.118;1.621.724.316;7.665.928.281;7.233.201.812;1
439;5.208.814.087;6.620.507.097;1.076.490.063;7.698.938.405;7.553.443.365;1
534;2.386.087.564;7.348.734.465;1.315.339.394;7.536.519.231;7.410.797.925;1
819;4.928.456.323;6.915.901.891;2.419.265.048;7.386.430.414;8.066.460.651;0
1424;3.667.731.736;5.026.408.563;2.487.868.926;7.661.569.292;7.927.508.968;0
958;2.115.078.446;3.728.558.545;2.878.972.884;7.565.736.513;7.790.166.824;0
1271;4.913.834.928;4.956.588.212;1.629.085.365;771.542.791;696.767.776;0
1445;4.327.496.436;8.415.393.024;2.724.625.571;7.694.193.367;6.526.634.933;0
631;2.903.098.225;579.079.084;1.551.953.323;7.700.209.332;7.984.918.112;1
458;36.629.921;107.978.921;2.951.984.434;8.352.735.582;7.919.725.311;1
1053;35.298.485;6.388.112.596;2.681.029.625;8.573.189.188;889.612.588;0
675;2.494.580.444;7.336.984.655;2.098.477.223;8.016.465.878;7.571.449.538;0
524;3.898.322.526;5.795.783;1.249.718.369;7.767.423.551;8.090.942.561;1
512;2.779.135.882;64.800.015;1.533.047.896;8.146.633.844;9.047.600.664;1
619;2.023.338.724;3.685.534.594;1.489.228.267;7.743.153.652;708.075.022;0
1593;3.037.361.606;1.263.557.989;1.243.536.939;8.559.818.565;8.228.285.694;0
437;357.372.089;116.261.141;1.593.850.041;7.583.741.084;8.403.176.324;1
838;2.120.405.916;1.065.647.221;1.706.027.177;8.197.209.935;8.470.081.314;0
933;3.790.597.266;5.899.081.321;2.511.417.375;7.713.324.766;7.931.896.908;0
559;2.134.032.704;5.452.768.768;3.231.324.152;7.556.680.395;6.953.481.414;1
814;2.845.029.442;7.226.240.436;1.756.968.536;7.853.758.602;8.445.417.091;0
620;3.719.626.712;3.354.974.504;2.849.130.825;8.065.901.362;6.680.268.133;0
1279;2.002.774.228;6.769.641.815;1.879.476.692;7.625.931.276;8.442.671.939;0
362;3.952.264.188;8.425.318.316;1.306.734.687;7.349.981.583;7.739.374.161;1
1201;3.932.275.229;7.060.805.577;2.352.036.912;7.723.404.939;6.855.787.469;0
1015;3.753.364.852;1.113.538.388;2.811.993.075;8.520.401.088;8.508.204.438;0
697;1.912.416.427;5.999.683.934;2.987.005.452;7.631.945.698;8.230.372.906;0
617;5.597.605.045;5.325.127.589;3.186.785.589;7.776.655.872;7.545.673.451;1
464;2.311.718.308;1.132.674.378;0.744652308;8.590.221.864;8.005.321.523;1
1125;3.097.949.669;6.940.524.661;1.480.441.784;7.539.747.338;7.748.653.067;1
738;3.789.443.825;1.085.112.272;2.220.887.733;7.798.573.748;8.298.326.076;1
836;2.663.225.392;993.832.551;1.753.585.339;7.650.009.961;7.873.893.757;1
637;300.939.052;4.910.445.492;1.468.909.972;7.746.018.755;7.378.591.927;1
555;4.193.010.928;6.665.044.579;2.071.558.003;7.664.440.055;689.833.824;1
454;4.582.898.561;1.048.950.367;3.541.026.407;7.612.497.741;667.112.511;1
908;2.353.024.166;5.057.621.698;0.934067216;780.721.944;7.191.908.621;0
534;250.980.337;4.652.861.381;2.656.350.296;7.734.971.384;8.413.012.915;0
432;2.343.959.025;1.006.437.538;2.122.863.255;7.939.111.376;7.957.090.677;1
